Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"EU","ENCORE ENERGY CORP","Energy","Equity","261,436.98","0.36","261,436.98","136,878.00","1.91","United States","TSX Venture Exchange","CAD","1.00","CAD"
"ABRA","ABRASILVER RESOURCE CORP","Materials","Equity","224,228.16","0.31","224,228.16","13,221.00","16.96","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PMET","PMET RESOURCES INC","Materials","Equity","210,323.12","0.29","210,323.12","31,964.00","6.58","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"LAR","LITHIUM ARGENTINA AG","Materials","Equity","202,216.80","0.28","202,216.80","15,460.00","13.08","Argentina","Toronto Stock Exchange","CAD","1.00","CAD"
"ARG","AMERIGO RESOURCES LTD","Materials","Equity","188,441.60","0.26","188,441.60","29,444.00","6.40","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"URG","UR ENERGY INC","Energy","Equity","151,333.48","0.21","151,333.48","74,923.00","2.02","United States","Nyse Mkt Llc","CAD","0.73","USD"
"SLI","STANDARD LITHIUM LTD","Materials","Equity","151,237.10","0.21","151,237.10","30,430.00","4.97","Canada","TSX Venture Exchange","CAD","1.00","CAD"
"USA","AMERICAS GOLD AND SILVER","Materials","Equity","146,566.35","0.20","146,566.35","19,159.00","7.65","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"USD","USD CASH","Cash and/or Derivatives","Cash","108,817.08","0.15","108,817.08","79,194.00","137.40","United States","-","CAD","0.73","USD"
"LUCA","LUCA MINING CORP","Materials","Equity","106,931.25","0.15","106,931.25","85,545.00","1.25","Canada","TSX Venture Exchange","CAD","1.00","CAD"
"NICU","MAGNA MINING INC","Materials","Equity","100,737.60","0.14","100,737.60","41,974.00","2.40","Canada","TSX Venture Exchange","CAD","1.00","CAD"
"ISO","ISOENERGY LTD","Energy","Equity","99,611.10","0.14","99,611.10","7,005.00","14.22","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FWZ","FIREWEED METALS CORP","Materials","Equity","88,073.24","0.12","88,073.24","21,377.00","4.12","Canada","TSX Venture Exchange","CAD","1.00","CAD"
"EMO","EMERITA RESOURCES CORP","Materials","Equity","74,447.72","0.10","74,447.72","222,232.00","0.34","Canada","TSX Venture Exchange","CAD","1.00","CAD"
"PNPN","POWER METALLIC MINES INC","Materials","Equity","73,405.97","0.10","73,405.97","53,581.00","1.37","Canada","TSX Venture Exchange","CAD","1.00","CAD"
"GLO","GLOBAL ATOMIC CORP","Materials","Equity","53,397.00","0.07","53,397.00","78,525.00","0.68","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CVV","CANALASKA URANIUM LTD CLASS A","Energy","Equity","46,918.57","0.06","46,918.57","79,523.00","0.59","Canada","TSX Venture Exchange","CAD","1.00","CAD"
"AAG","AFTERMATH SILVER LTD","Materials","Equity","45,936.75","0.06","45,936.75","61,249.00","0.75","Canada","TSX Venture Exchange","CAD","1.00","CAD"
"WRN","WESTERN COPPER AND GOLD CORP","Materials","Equity","42,794.10","0.06","42,794.10","11,535.00","3.71","Canada","Nyse Mkt Llc","CAD","0.73","USD"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","-3,631.54","0.00","-3,631.54","-3,632.00","100.00","Canada","-","CAD","1.00","CAD"
 
